Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,146.84375,147.5,146.25,146.875,98.1559829711914,3172700
2000-01-03,148.25,148.25,143.875,145.4375,97.19529724121094,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,93.39436340332031,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,93.56149291992188,12177900
2000-01-06,139.625,141.5,137.75,137.75,92.05782318115234,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,97.4041519165039,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,97.73827362060547,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,96.56879425048828,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,95.60810089111328,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,96.90296936035156,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,98.21864318847656,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,97.4459228515625,6488500
2000-01-19,145.3125,147.0,145.0,147.0,98.23957824707031,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,96.7358627319336,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,96.52703094482422,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,93.79118347167969,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,94.85629272460938,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,94.10443878173828,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,93.72852325439453,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,90.80473327636719,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,93.26910400390625,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,94.18799591064453,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,94.27151489257812,6205900
2000-02-03,140.875,143.25,140.0,143.1875,95.69164276123047,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,95.29484558105469,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,95.1486587524414,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,96.44345092773438,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,94.4177017211914,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,94.60568237304688,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,92.68429565429688,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,93.227294921875,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,94.28193664550781,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,92.89318084716797,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,92.41280364990234,7584200
2000-02-18,138.875,138.875,134.625,135.3125,90.42877960205078,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,90.19908905029297,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,91.26421356201172,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,89.42634582519531,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,89.10269927978516,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,90.97181701660156,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,91.84894561767578,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,92.51722717285156,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,92.57989501953125,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,94.31324005126953,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,93.39436340332031,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,91.587890625,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,91.4730224609375,11808500
2000-03-09,137.25,140.875,136.125,140.875,94.14620971679688,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,93.64503479003906,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,92.6216812133789,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,91.30596923828125,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,93.43614196777344,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,97.80096435546875,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,98.4473648071289,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,97.94483947753906,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,99.9548110961914,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,100.56201934814453,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,102.27883911132812,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,102.88603210449219,11462900
2000-03-27,153.375,153.78125,151.8125,151.9375,101.79733276367188,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,101.2110824584961,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,101.31575775146484,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,99.61978912353516,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,100.75045776367188,9249100
2000-04-03,150.125,151.25,148.6875,151.25,101.33667755126953,8508200
2000-04-04,151.75,153.0,141.390625,150.125,100.58290100097656,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,99.9548110961914,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,100.82373046875,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,101.46231079101562,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,101.06446075439453,9624200
2000-04-11,150.0,151.625,148.375,150.40625,100.77137756347656,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,98.0076675415039,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,96.646728515625,12225800
2000-04-14,142.625,142.8125,133.5,136.0,91.11927032470703,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,94.30174255371094,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,96.79329681396484,11069200
2000-04-19,144.5,145.125,142.53125,143.125,95.89299774169922,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,96.35359954833984,8537600
2000-04-24,141.5,143.3125,140.5,142.25,95.30677032470703,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,99.2638931274414,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,98.14374542236328,7711100
2000-04-27,143.0,147.34375,143.0,146.0,97.81920623779297,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,97.2120132446289,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,98.53109741210938,7328300
2000-05-02,145.5,147.125,144.125,144.125,96.56297302246094,9411900
2000-05-03,144.0,144.0,139.78125,140.75,94.30174255371094,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,95.01358032226562,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,96.16515350341797,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,95.44277954101562,5064100
2000-05-09,143.0625,143.40625,140.265625,141.3125,94.67862701416016,5620300
2000-05-10,140.5,140.96875,137.75,138.125,92.54299926757812,10293900
2000-05-11,140.125,141.5,139.125,141.28125,94.65765380859375,7091100
2000-05-12,141.8125,143.46875,141.625,142.8125,95.68360137939453,5960800
2000-05-15,142.75,145.609375,142.0,145.28125,97.33763885498047,4441300
2000-05-16,146.5625,147.71875,145.3125,146.6875,98.27981567382812,8192200
